rule_id,rule_version,period,cost_type,allocation_basis,target_dimension,effective_start,effective_end,is_active,description
RULE_202506_09_V2,V2,2025-06,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202506_10_V2,V2,2025-06,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202507_01_V1,V1,2025-07,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-06-30,False,旧版分摊规则，7月不应继续使用
RULE_202507_01_V2,V2,2025-07,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202507_02_V2,V2,2025-07,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202507_03_V2,V2,2025-07,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202507_04_V2,V2,2025-07,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202507_05_V2,V2,2025-07,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202507_06_V2,V2,2025-07,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202507_07_V2,V2,2025-07,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202507_08_V2,V2,2025-07,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202507_09_V2,V2,2025-07,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202507_10_V2,V2,2025-07,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202508_01_V2,V2,2025-08,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202508_02_V2,V2,2025-08,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202508_03_V2,V2,2025-08,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202508_04_V2,V2,2025-08,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202508_05_V2,V2,2025-08,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202508_06_V2,V2,2025-08,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202508_07_V2,V2,2025-08,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202508_08_V2,V2,2025-08,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202508_09_V2,V2,2025-08,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202508_10_V2,V2,2025-08,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202509_01_V2,V2,2025-09,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202509_02_V2,V2,2025-09,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202509_03_V2,V2,2025-09,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202509_04_V2,V2,2025-09,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202509_05_V2,V2,2025-09,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202509_06_V2,V2,2025-09,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202509_07_V2,V2,2025-09,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202509_08_V2,V2,2025-09,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202509_09_V2,V2,2025-09,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202509_10_V2,V2,2025-09,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202510_01_V2,V2,2025-10,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202510_02_V2,V2,2025-10,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202510_03_V2,V2,2025-10,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202510_04_V2,V2,2025-10,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202510_05_V2,V2,2025-10,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202510_06_V2,V2,2025-10,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202510_07_V2,V2,2025-10,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202510_08_V2,V2,2025-10,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202510_09_V2,V2,2025-10,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202510_10_V2,V2,2025-10,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202511_01_V2,V2,2025-11,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202511_02_V2,V2,2025-11,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202511_03_V2,V2,2025-11,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202511_04_V2,V2,2025-11,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202511_05_V2,V2,2025-11,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202511_06_V2,V2,2025-11,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202511_07_V2,V2,2025-11,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202511_08_V2,V2,2025-11,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202511_09_V2,V2,2025-11,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202511_10_V2,V2,2025-11,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202512_01_V2,V2,2025-12,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202512_02_V2,V2,2025-12,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202512_03_V2,V2,2025-12,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202512_04_V2,V2,2025-12,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202512_05_V2,V2,2025-12,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202512_06_V2,V2,2025-12,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-07-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202512_07_V2,V2,2025-12,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-07-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202512_08_V2,V2,2025-12,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-07-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202512_09_V2,V2,2025-12,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-07-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202512_10_V2,V2,2025-12,BRANCH_OPERATION_COST,AREA,BRANCH,2025-07-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
